No,User Name,Rating Bintang,Tanggal,Ulasan Asli,Ulasan Preprocessing,Skor Sentimen,Sentimen Teks,Status Kesesuaian,Keterangan Anomali
2579,Jamiyatul Rizdwan,5,2026-08-26,banyak update,banyak update,0,Netral,MATCH,
2580,Darman Chelsea,5,2026-08-26,lebih cepat dan simpel,lebih cepat dan simpel,2.5,Positif,MATCH,
2581,Acep Wahyudin,5,2026-08-26,"bagus ,,ubah paskes mudah",bagus ubah paskes mudah,4.5,Positif,MATCH,
2582,Anton Wiratno,1,2026-08-26,"susah login,diperangkat sudah terdaftar 3 NIK 👎",sulit login diperangkat sudah terdaftar 3 nik,-2.5,Negatif,MATCH,
2583,SAIFUL AE,3,2026-08-26,makin hari versi makin tinggi kasian hp yang agak lama tidak bisa instal lagi nanti kalo gak pake jkn berbayar trus gimana??,makin hari versi makin tinggi kasian hp yang agak lama tidak bisa instal lagi nanti kalo tidak pake jkn berbayar terus gimana,-2,Negatif,MATCH,
2584,Dinda Permata Sari,3,2026-08-26,Awalnya daftarnya biasa saja sekarang sulit buat daftar apalagi saat bagian masukkan nomor hp buat dapat kode verifikasi kode nya gak datang²,awalnya daftarnya biasa saja sekarang sulit buat daftar apalagi saat bagian masukkan nomor hp buat dapat kode verifikasi kode nya tidak datang,-2.5,Negatif,MATCH,
2585,Farhan Sungkar,5,2026-08-26,keren,keren,2.5,Positif,MATCH,
2586,Deni Setio arko,1,2026-08-26,"mau daftar malah ada fitur scan wajah, lemot coba lagi terus, ngga banget",mau daftar malah ada fitur scan wajah lambat coba lagi terus tidak banget,-2.5,Negatif,MATCH,
2587,misbah munir,5,2026-08-26,sangat membantu,sangat membantu,3,Positif,MATCH,
2588,Arip Labib Fikri,1,2026-08-26,"apalah ini masa gak ada otp,,??",apalah ini masa tidak ada otp,0,Netral,MATCH,
2589,Fathiyah Nabila,1,2026-08-26,"tolonglah di perbaiki lagi, ini verifikasi susah tidak ada dapet kode ke no hp",tolonglah di perbaiki lagi ini verifikasi sulit tidak ada dapet kode ke no hp,-2.5,Negatif,MATCH,
2590,Agus Trianto,5,2026-08-26,sangat membantu,sangat membantu,3,Positif,MATCH,
2591,Remember,1,2026-08-26,"menjijikan, uang yg di setor di anggap hibah sepihak (& mengikat)",menjijikan uang yang di setor di anggap hibah sepihak mengikat,0,Netral,MATCH,
2592,DARMADI DARMADI,1,2026-08-26,ini cukup mematu aku.,ini cukup mematu aku,0,Netral,MATCH,
2593,Muhamad Hadi,5,2026-08-26,sangat membantu memudahkan perubahan data peserta BPJS kesehatan ♥️👍,sangat membantu memudahkan perubahan data peserta bpjs kesehatan,6,Positif,MATCH,
2594,Exa Nur,1,2026-08-26,ini kok sekarang jadi susah yaaaahh,ini kok sekarang jadi sulit yahh,-2.5,Negatif,MATCH,
2595,sifa mardyani,5,2026-08-26,sangat membantu,sangat membantu,3,Positif,MATCH,
2596,Karina Sukmawati,4,2026-08-26,"ini kenapa logout sendiri, giliran mau log in lagi susah nya mnta ampun, nik salah lah, pass salah lah, mau verivikasi aja susahh harus ke SMS tapi ga ada terus kode nya. gimna ini saya daftar ke RS mau kontrol.",ini kenapa logout sendiri giliran mau login in lagi sulit nya mnta ampun nik salah lah pass salah lah mau verivikasi aja susahh harus ke sms tapi tidak ada terus kode nya gimna ini saya daftar ke rs mau kontrol,-2.5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
2597,Charles Mario,1,2026-08-26,"aplikasnya buruk , sering bermasalah , error , sering logoutb , antrian kadang ga masuk ke data rumah sakit",aplikasnya buruk sering bermasalah error sering logoutb antrean kadang tidak masuk ke data rumah sakit,-5.5,Negatif,MATCH,
2598,Ipoel Al fatih,5,2026-08-26,ok,ok,1.5,Positif,MATCH,
2599,Manurung Plg,5,2026-08-26,sangat membantu saya,sangat membantu saya,3,Positif,MATCH,
2600,Suhartini Suhartini,1,2026-08-26,kodw verifikasi gapernah masuj,kodw verifikasi gapernah masuj,0,Netral,MATCH,
2601,Endah Retno,5,2026-08-26,selama ini bagus dan sangat membantu keluarga saya di saat sakit dan membutuhkan perawatan,selama ini bagus dan sangat membantu keluarga saya di saat sakit dan membutuhkan perawatan,5,Positif,MATCH,
2602,Willy Willyam Scanna,1,2026-08-26,makin gaje ini aplikasi gak ke urus apa udah males ngurus apa2 harus online tapi penyediaa platform nya gak ngurus,makin gaje ini aplikasi tidak ke urus apa udah males ngurus apa2 harus online tapi penyediaa platform nya tidak ngurus,0,Netral,MATCH,
2603,Sahrudin,5,2026-08-26,bpjs terpercaya,bpjs terpercaya,0,Netral,MATCH,
2604,Yohannes Belli,1,2026-08-26,"Tolong di perbaiki mau daftar gabisa padahal internet kuota masih banyak, tolong di permudah, terimakasih.",tolong di perbaiki mau daftar tidak bisa padahal internet kuota masih banyak tolong di permudah terimakasih,0,Netral,MATCH,
2605,siti aissyah,2,2026-08-26,Benerin dong applikasinya Error Mulu. Bikin Repot Jadinya,perbaiki dong applikasinya error terus bikin repot jadinya,-2.5,Negatif,MATCH,
2606,Fahrial Hamdi Ferry,4,2026-08-26,bagus,bagus,2,Positif,MATCH,
2607,Apep Gunawan,1,2026-08-26,ga bisa masuk terus ajg,tidak bisa masuk terus ajg,0,Netral,MATCH,
2608,rizal iks2357,1,2026-08-26,parah saat ngisi nomer hp eror Mulu,buruk saat ngisi nomer hp error terus,-5.5,Negatif,MATCH,
2609,Suweni,5,2026-08-26,sagat baik,sagat baik,2,Positif,MATCH,
2610,Febriyana putri,5,2026-08-26,sangat membantu untuk memudahkan melakukan administrasi kesehatan,sangat membantu untuk memudahkan melakukan administrasi kesehatan,6,Positif,MATCH,
2611,Phutera Tarigan,1,2026-08-26,aplikasi tolol masuk nya aja susah kali,aplikasi tolol masuk nya aja sulit kali,-2.5,Negatif,MATCH,
2612,Devi Widarsih,5,2026-08-26,Sangat membantu sekali,sangat membantu sekali,3,Positif,MATCH,
2613,Agustus 18,5,2026-08-26,terimakasih,terimakasih,0,Netral,MATCH,
2614,Putra Dollar,1,2026-08-26,apk apa ini orang mau buat akun ga bisa,aplikasi apa ini orang mau buat akun tidak bisa,0,Netral,MATCH,
2615,Nurmansyah. Hse,1,2026-08-26,kenapa aplikasinya kacau terus ..tolong dong ini diperhatikan bapak ibu pemerintah...kita juga bayar tiap bulannya..mas a mau berobat aja sudah banget terkendala aplikasi...,kenapa aplikasinya kacau terus tolong dong ini diperhatikan bapak ibu pemerintah kita juga bayar tiap bulannya mas a mau berobat aja sudah banget terkendala aplikasi,0,Netral,MATCH,
2616,Much Jufrie,1,2026-08-26,aplikasi milik pemerintah tapi selalu ngebug sangat miris !!!!!,aplikasi milik pemerintah tapi selalu ngebug sangat miris,0,Netral,MATCH,
2617,Hasan Apandi,4,2026-08-26,sangat bagus dan mudah untuk melakukan pendaftaran,sangat bagus dan mudah untuk melakukan pendaftaran,4.5,Positif,MATCH,
2618,Pegi Yanto,5,2026-08-26,sangat membantu,sangat membantu,3,Positif,MATCH,
2619,nadiya,3,2026-08-26,"mohon dilancarkan lagi, klo penggunanya banyak suka ngelag",mohon dilancarkan lagi klo penggunanya banyak suka ngelag,2,Positif,MATCH,
2620,Adiansyah moxer,1,2026-08-26,Kenapa di hp saya bisa di download sangat miris,kenapa di hp saya bisa di download sangat miris,0,Netral,MATCH,
2621,Kusyana,2,2026-08-26,tolong diperbaiki lagi🙏 sekarang sering logout akun. sering banget gangguan,tolong diperbaiki lagi sekarang sering logout akun sering banget gangguan,0,Netral,MATCH,
2622,Anggikurniawan,2,2026-08-26,Udar Ruwet Sekarang. Bukan nya makin mudah malah makin ngga jelas.,udar sulit sekarang bukan nya makin mudah malah makin tidak jelas,-1.35,Negatif,MATCH,
2623,Yas Wendi,5,2026-08-26,No komen. Aplikasi nya bagus.,no komen aplikasi nya bagus,2,Positif,MATCH,
2624,Mentari Mentari,5,2026-08-26,aplikasi yang sangat membantu saya,aplikasi yang sangat membantu saya,3,Positif,MATCH,
2625,Azis Adinugraha,5,2026-08-26,mantap,mantap,3,Positif,MATCH,
2626,Albert Marlis,1,2026-08-26,"APLIKASI MEMPERSULIT UNTUK BEROBAT, SUSAH MENDAFTAR",aplikasi mempersulit untuk berobat sulit mendaftar,-2.5,Negatif,MATCH,
2627,Agil Setianingrum,2,2026-08-26,sekarang sering tobel.. mmmmmmm,sekarang sering tobel m,0,Netral,MATCH,
2628,Muhammad Radiansyah,5,2026-08-26,bermanfaat sekali,bermanfaat sekali,3,Positif,MATCH,
2629,Jayusman,5,2026-08-26,pelayanan sangat bagus dokternya ramah,pelayanan sangat bagus dokternya ramah,4,Positif,MATCH,
2630,Rahmat Hidayat (Amath),5,2026-08-26,ok,ok,1.5,Positif,MATCH,
2631,Hymey_7,1,2026-08-26,Kenapa gak bisa di buka woii??;;! udah gw tekan tapi gk mau kebuka malah kembali ke home screnn pas di tekan tolong kenapa ini!???,kenapa tidak bisa di buka woii udah gw tekan tapi tidak mau kebuka malah kembali ke home screnn pas di tekan tolong kenapa ini,0,Netral,MATCH,
2632,Zessa Aprila,1,2026-08-26,jelek,buruk,-3,Negatif,MATCH,
2633,rizki Syareza,1,2026-08-26,aplikasi paling lelet,aplikasi paling lambat,-2.5,Negatif,MATCH,
2634,pandu pandu,4,2026-08-26,"lebih mudah ,dan tanpa antrean..",lebih mudah dan tanpa antrean,2.5,Positif,MATCH,
2635,SC channel,1,2026-08-26,kacau kacauuu lah jadi ribet,kacau kacau lah jadi rumit,-2,Negatif,MATCH,
2636,Zikri Akbar Ramadhan,1,2026-08-26,"menyulitkan, setiap bulan di suruh login ulang payah lagi.",menyulitkan setiap bulan di suruh login ulang payah lagi,-3,Negatif,MATCH,
2637,Saputra Ega,4,2026-08-26,cukup mudah dan dimengerti sangat membantu saat kondisi keluarga sedang sakit.,cukup mudah dan dimengerti sangat membantu saat kondisi keluarga sedang sakit,5.5,Positif,MATCH,
2638,Endang Sudiyarti,1,2026-08-26,sulit sekali melakukan pendaftaran karena HP saya tidak kompatibel dengan system JKN,sulit sekali melakukan pendaftaran karena hp saya tidak kompatibel dengan system jkn,-2.5,Negatif,MATCH,
2639,Kila Aisyah,5,2026-08-26,praktis dan sangat membantu,praktis dan sangat membantu,5.5,Positif,MATCH,
2640,Syafruddin KCP sabang atas,2,2026-08-26,kenapa antrian berikutnya setelah 1 minggu susah di ambil. no antrian sebelumnya masih muncul... tolong perbaikan. klo tdk mampu jgn sok digital...,kenapa antrean berikutnya setelah 1 minggu sulit di ambil no antrean sebelumnya masih muncul tolong perbaikan klo tidak mampu jgn sok digital,-2.5,Negatif,MATCH,
2641,ngaco bray,5,2026-08-26,i like it cepat membantu dalam pengerjaan data pribadi secara mandiri. thanks you so much.....,i like it cepat membantu dalam pengerjaan data pribadi secara mandiri thanks you so much,5.5,Positif,MATCH,
2642,Addar Umar,5,2026-08-26,sangat bermanfaat,sangat bermanfaat,3,Positif,MATCH,
2643,dedi huri,5,2026-08-26,"proses mudah tidak ribet tidak ngantri yg penting punya kuota, makasih jkn",proses mudah tidak rumit tidak ngantri yang penting punya kuota makasih jkn,5.5,Positif,MATCH,
2644,Quen Diamond,1,2026-08-26,"kenapa setiap mau pakai selalu diminta masukkan NIK? padahal apk sudah lama didownload, terus kalau sudah pernah log in ya jangan disuruh log in terus tiap mau dipakai.",kenapa setiap mau pakai selalu diminta masukkan nik padahal aplikasi sudah lama didownload terus kalau sudah pernah login in ya jangan disuruh login in terus tiap mau dipakai,-2,Negatif,MATCH,
2645,resti muslimatul,5,2026-08-26,berobat jadi lebih simpel dan mudah mendaftar nya melalui online,berobat jadi lebih simpel dan mudah mendaftar nya melalui online,2.5,Positif,MATCH,
2646,Garet Bale,5,2026-08-26,terbaik,terbaik,3,Positif,MATCH,
2647,Irma Hermawati,5,2026-08-26,good..,good,2,Positif,MATCH,
2648,jis,1,2026-08-26,tolong permudah verifikasi nya masa saya harus ganti nomer gara gara ini,tolong permudah verifikasi nya masa saya harus ganti nomer gara gara ini,0,Netral,MATCH,
2649,Abdul Muis Tanjung,1,2026-08-26,"ayolah, siapa si developer burid yang ngembangin aplikasi ini? dari dulu ampe skrng mau masuk aja gabisa, udah ganti sandi pun gabisa masuk emang burid... jangan mentang mentang kerja di pemerintah ga pernah di cek ada bug nya... plis lah",ayolah siapa si developer burid yang ngembangin aplikasi ini dari dulu ampe skrng mau masuk aja tidak bisa udah ganti sandi pun tidak bisa masuk emang burid jangan mentang mentang kerja di pemerintah tidak pernah di cek ada bug nya tolong lah,-2,Negatif,MATCH,
2650,Yudi Mvshop,1,2026-08-26,aplikasi g bermutu,aplikasi g bermutu,0,Netral,MATCH,
2651,Taofik Septian,5,2026-08-26,luar biasaaaa,luar biasa,0,Netral,MATCH,
2652,Miftah Umay,2,2026-08-26,susah kali jkn ini bukan di permudah tapi di persulit,sulit kali jkn ini bukan di permudah tapi di persulit,-2.5,Negatif,MATCH,
2653,Deko Handoko,5,2026-08-26,berobat,berobat,0,Netral,MATCH,
2654,Iik Mulyana,5,2026-08-26,Aplikasi ini sangat membantu karena sangat mudah digunakan,aplikasi ini sangat membantu karena sangat mudah digunakan,5.5,Positif,MATCH,
2655,Bima Budi 2024,5,2026-08-26,mantap apk yang bagus,mantap aplikasi yang bagus,5,Positif,MATCH,
2656,gandung eva,5,2026-08-26,baik ada layanan online sangat mmbantu sekali jika pindah faskes 👍,baik ada layanan online sangat mmbantu sekali jika pindah faskes,2,Positif,MATCH,
2657,Arkan Ramadhan,2,2026-08-26,sebenarnya mempermudah apa mempersulit?,sebenarnya mempermudah apa mempersulit,0,Netral,MATCH,
2658,Bagus Rosyidi,1,2026-08-26,aplikasi apa ini masa biar daftar gk bisa udah berkali-kaki tetap gk ke daftar,aplikasi apa ini masa biar daftar tidak bisa udah berkali-kaki tetap tidak ke daftar,0,Netral,MATCH,
2659,klinik braja pamungkas,1,2026-08-26,pemerintah makin bodoh bukannya mempermudah malah mempersulit akses nya. tolol,pemerintah makin bodoh bukannya mempermudah malah mempersulit akses nya tolol,0,Netral,MATCH,
2660,Jasmani,1,2026-08-26,"pada saat mau login selalu captcha salah padahal udah benar, sampai berulang kali tetap salah",pada saat mau login selalu captcha salah padahal udah benar sampai berulang kali tetap salah,0,Netral,MATCH,
2661,saadsahlul fasya,5,2026-08-26,sangat membantu sekali adanya aplikasi ini,sangat membantu sekali adanya aplikasi ini,3,Positif,MATCH,
2662,Aulia Kumala,1,2026-08-26,"aplikasi tolol, kode nya ngga dikirim ke no hp malah disuruh isi pulsa, padahal pulsaku masih 14 ribu, giliran ganti nomor malah error mulu",aplikasi tolol kode nya tidak dikirim ke no hp malah disuruh isi pulsa padahal pulsaku masih 14 ribu giliran ganti nomor malah error terus,-2.5,Negatif,MATCH,
2663,wahab rajasam,5,2026-08-26,baik,baik,2,Positif,MATCH,
2664,Kevin Utomo,1,2026-08-26,"setiap mau verifikasi no hp selalu error, dari bulan Januari sampe sekarang tidak dibenahi",setiap mau verifikasi no hp selalu error dari bulan januari sampe sekarang tidak dibenahi,-2.5,Negatif,MATCH,
2665,Dayat Ban,5,2026-08-26,sangat baik,sangat baik,2,Positif,MATCH,
2666,Ayi Syarma,5,2026-08-26,"mantul banget ,no ribet tanpa ke kantornya lansung",mantul banget no rumit tanpa ke kantornya lansung,-2,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
2667,flero gamer,5,2026-08-26,sangat menjamin kesehatan warga negara. God Bless BPJS Kesehatan,sangat menjamin kesehatan warga negara god bless bpjs kesehatan,0,Netral,MATCH,
2668,riki ramadani,5,2026-08-26,pelayanan nya sangat memuaskan ramah dn,pelayanan nya sangat memuaskan ramah dn,2,Positif,MATCH,
2669,Doni Saputra,4,2026-08-26,alhamdulillah lancar bgt skrang,alhamdulillah lancar banget sekarang,2.5,Positif,MATCH,
2670,Rifqi wachid,1,2026-08-26,"gak niat bikin apk , lebih baik judol sekali klik langsung bisa",tidak niat bikin aplikasi lebih baik judol sekali klik langsung bisa,2,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
2671,Jalakkontraktor Pos,5,2026-08-26,Sangat membantu dan mudah di akses,sangat membantu dan mudah di akses,5.5,Positif,MATCH,
2672,Abdul Jaya,5,2026-08-26,bermanfaat,bermanfaat,3,Positif,MATCH,
2673,Graciella Adiesty,1,2026-08-26,eh pak tolong dong kalo mau verifikasi gausah di persulit. pake segala ada kendala ini itu segala macem. org yg mau nya gampang jadi susah tau ga!,eh pak tolong dong kalo mau verifikasi gausah di persulit pake segala ada kendala ini itu segala macem org yang mau nya gampang jadi sulit tau tidak,-2.5,Negatif,MATCH,
2674,Miftahurrohman,1,2026-08-26,"Apk gk jelas, dh bikin akun dh lama sgala macem suruh login lagi masukin captcha dh bner disalahin terus pas buat antrian mo berobat dh ngisi data tetep gk bisa daftar gimana coba",aplikasi tidak jelas dh bikin akun dh lama sgala macem suruh login lagi masukin captcha dh bner disalahin terus pas buat antrean mo berobat dh ngisi data tetep tidak bisa daftar gimana coba,-3.35,Negatif,MATCH,
2675,Wahyuni Marlin,1,2026-08-26,"setiap mau buka error mulu, heran gimana orang mau ambil no antrian, ga jelas",setiap mau buka error terus heran gimana orang mau ambil no antrean tidak jelas,-3.85,Negatif,MATCH,
2676,Fadli Amnessia153,1,2026-08-26,"apk gila . udah log in keluar sendiri , mau log in captcha nya ga muncul muncul gilaaa campahhhh.",aplikasi gila udah login in keluar sendiri mau login in captcha nya tidak muncul muncul gila campah,-3,Negatif,MATCH,
2677,Le CUK,2,2026-08-26,Aplikasi pemerintah banyak yg payah,aplikasi pemerintah banyak yang payah,-3,Negatif,MATCH,
2678,Julians Simanjuntak,1,2026-08-26,"aplikasi bosok, login gk bisa terus, data sesuai, selalu notif sesi habis",aplikasi bosok login tidak bisa terus data sesuai selalu notif sesi habis,0,Netral,MATCH,
2679,susanto muhammad,3,2026-08-26,aplikasi ampas gampang log out,aplikasi ampas gampang login out,0,Netral,MATCH,
2680,Mus Takim slimin,5,2026-08-26,sangat mebantu,sangat mebantu,0,Netral,MATCH,
2681,Diki Zian Syahreza,5,2026-08-26,bagus,bagus,2,Positif,MATCH,
2682,Berkah Chicken,4,2026-08-26,"cukup bagus dan mudah digunakan walau ada bbrp term yg blm tercover di apk, seperti perubahan otomatis faskes pertama yg direkomendasikan ketika pindah alamat",cukup bagus dan mudah digunakan walau ada beberapa term yang belum tercover di aplikasi seperti perubahan otomatis faskes pertama yang direkomendasikan ketika pindah alamat,4.5,Positif,MATCH,
2683,GreenSoft,1,2026-08-26,susah bgt buat daftar,sulit banget buat daftar,-2.5,Negatif,MATCH,
2684,Acho Sepolo,2,2026-08-25,"apa2 gagal, verifikasi wajah gagal, nunggu kode SMS referral gagal2. percuma gak bisa di pakai",apa2 gagal verifikasi wajah gagal nunggu kode sms referral gagal2 percuma tidak bisa di pakai,-5,Negatif,MATCH,
2685,Lasti Pustina,5,2026-08-25,"terima kasih ,sangat terbantu dengan aplikasi ini, mempermudah segala urusan tentang kesehatan 🙏",terima kasih sangat terbantu dengan aplikasi ini mempermudah segala urusan tentang kesehatan,2,Positif,MATCH,
2686,Cucu Suparman,1,2026-08-25,eror kadang kadang ga bisa kebuka ngebug,error kadang kadang tidak bisa kebuka ngebug,-2.5,Negatif,MATCH,
2687,Alesha Ayunindya,2,2026-08-25,harusnya layanan untuk masyarat itu yang bisa kompiteble untuk hp apapun.bukan untuk hp tertentu yang spek nya harus tinggi.,harusnya layanan untuk masyarat itu yang bisa kompiteble untuk hp apapun bukan untuk hp tertentu yang spek nya harus tinggi,0,Netral,MATCH,
2688,sri wahyono,4,2026-08-25,saya sbg peserta bpjs merasa sangat terbantu dalam penanganan pelayananan kesehatan yg sudah saya alamai. selama. ini,saya sbg peserta bpjs merasa sangat terbantu dalam penanganan pelayananan kesehatan yang sudah saya alamai selama ini,0,Netral,MATCH,
2689,Pur Wanti,5,2026-08-25,dapat antrian lebih awal,dapat antrean lebih awal,0,Netral,MATCH,
2690,David Son,5,2026-08-25,lama nungguin kode OTP. Hilangkan pe waktu untuk menerima kode OTP ke 2,lama nungguin kode otp hilangkan pe waktu untuk menerima kode otp ke 2,-2,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
2691,Hendra Gunawan Silitonga,5,2026-08-25,ok,ok,1.5,Positif,MATCH,
2692,Chyo,1,2026-08-25,Tolong di permudah masalah kode otp saat menggunakan nomer,tolong di permudah masalah kode otp saat menggunakan nomer,0,Netral,MATCH,
2693,Septi Anida,5,2026-08-25,sangat membantu terimakasih,sangat membantu terimakasih,3,Positif,MATCH,
2694,Esa Alfarizy,4,2026-08-25,josss,jos,0,Netral,MATCH,
2695,mas JJ,1,2026-08-25,"buruk sekali,dan nggak ada respon kalau di kritik",buruk sekali dan tidak ada respon kalau di kritik,-3,Negatif,MATCH,
2696,Dera Noviandi,5,2026-08-25,mantap,mantap,3,Positif,MATCH,
2697,Micko,5,2026-08-25,bagus...,bagus,2,Positif,MATCH,
2698,AFIQ IQDAM,1,2026-08-25,"aplikasi ribet , pemerintah gak jelas",aplikasi rumit pemerintah tidak jelas,-3.35,Negatif,MATCH,
2699,Dame Natalia Sidauruk,5,2026-08-25,aplikasi jkn mobile ini kenapa tidak bisa di download di hp saya oppo A1K ???. Katanya hp saya tidak kompetibel. Mohon di bantu admin 🙏🏻,aplikasi jkn mobile ini kenapa tidak bisa di download di hp saya oppo a1k katanya hp saya tidak kompetibel mohon di bantu admin,0,Netral,MATCH,
2700,Noviyadi Permanagoro,1,2026-08-25,"aplikasi dibuat untuk memudahkan bukan mempersulit, cuma ini aplikasi yang paling ribet gak jelas tidak ada cara untuk mengganti nomor HP yang sudah tidak aktif aplikasi yang super duper ribet mau daftar berobat aja aplikasinya begini 🤮🤮🤮🤮",aplikasi dibuat untuk memudahkan bukan mempersulit cuma ini aplikasi yang paling rumit tidak jelas tidak ada cara untuk mengganti nomor hp yang sudah tidak aktif aplikasi yang super duper rumit mau daftar berobat aja aplikasinya begini,-2.35,Negatif,MATCH,
2701,Realme Lemon,5,2026-08-25,ok,ok,1.5,Positif,MATCH,
2702,Muhammad Syauqi,1,2026-08-25,sering log out trs ribet harus login pake nik sama pin dulu. sampah!,sering login out terus rumit harus login pake nik sama pin dulu sampah,-6,Negatif,MATCH,
2703,Eva Muis,5,2026-08-25,cepat tidak ribet,cepat tidak rumit,3.5,Positif,MATCH,
2704,MSKR Supriyatna,1,2026-08-25,aplikasi eror ..daftar leg terus sinyal bagus juga..,aplikasi error daftar leg terus sinyal bagus juga,-0.5,Netral,MATCH,
2705,Ridwan Gunawan,5,2026-08-25,bagus,bagus,2,Positif,MATCH,
2706,MuhHafiz Zafitrah,5,2026-08-25,bagus sangat membantu,bagus sangat membantu,5,Positif,MATCH,
2707,Linadwi Saputri,5,2026-08-25,selalu puas,selalu puas,3,Positif,MATCH,
2708,kamal rifqi 513,5,2026-08-25,mantap sangat memudahkan dan membantu,mantap sangat memudahkan dan membantu,9,Positif,MATCH,
2709,Imam Shavero,5,2026-08-25,mantap,mantap,3,Positif,MATCH,
2710,Rayyan Arifianto,1,2026-08-25,"aplikasi nya error,untuk login akun tidak bisa padahal sudah berulang-ulang kali untuk mencoba login tapi tetap tidak bisa,MOHON DI PERBAIKI APLIKASINYA!!🙏",aplikasi nya error untuk login akun tidak bisa padahal sudah berulang-ulang kali untuk mencoba login tapi tetap tidak bisa mohon di perbaiki aplikasinya,-2.5,Negatif,MATCH,
2711,Jainuri 878,1,2026-08-25,gak bisa login kembali keterangan lebih dari 3 nik.,tidak bisa login kembali keterangan lebih dari 3 nik,0,Netral,MATCH,
2712,Doublefour 91,1,2026-08-25,aplikasi gak bisa dibuka,aplikasi tidak bisa dibuka,0,Netral,MATCH,
2713,Muh Natsir,5,2026-08-25,ok,ok,1.5,Positif,MATCH,
2714,Choco Latte ID,5,2026-08-25,sangat bermanfaat bagi saya dan keluarga,sangat bermanfaat bagi saya dan keluarga,3,Positif,MATCH,
2715,Andika Putra,1,2026-08-25,"jkn,koclok masak gak bisa dipake login lebih dari 3 ktp gak bisa. kalo ada yg minta tolong gimana,orang tua apa saudara yg gak ada hp. Apa dikira mau dipake nyolong apa aplikasi nya. Apk jelek bgt...",jkn koclok masak tidak bisa dipake login lebih dari 3 kartu tanda penduduk tidak bisa kalo ada yang minta tolong gimana orang tua apa saudara yang tidak ada hp apa dikira mau dipake nyolong apa aplikasi nya aplikasi buruk banget,-3,Negatif,MATCH,
2716,Untoro Suryadi,2,2026-08-25,eror terus gabisa daftar,error terus tidak bisa daftar,-2.5,Negatif,MATCH,
2717,Shinta Dewi,5,2026-08-25,memudahkan praktis,memudahkan praktis,5.5,Positif,MATCH,
2718,dimasst tv,3,2026-08-25,sangat sulit ketika ingin mendapatkan kan otp ketika mendaptar,sangat sulit ketika ingin mendapatkan kan otp ketika mendaptar,-2.5,Negatif,MATCH,
2719,evly jeje,1,2026-08-25,"setiap mau daftar pasti di bilang no telfon nya ga sesuai format sampe ganti ganti pake 3 nomor juga tetap aja gabisa,",setiap mau daftar pasti di bilang no telfon nya tidak sesuai format sampe ganti ganti pake 3 nomor juga tetap aja tidak bisa,0,Netral,MATCH,
2720,ari kusuma,5,2026-08-25,sangat membantu,sangat membantu,3,Positif,MATCH,
2721,Okki Heriana,5,2026-08-25,aplikasi dan program yg sangat bagus dan mantap,aplikasi dan program yang sangat bagus dan mantap,5,Positif,MATCH,
2722,Ibnu Hajar,1,2026-08-25,"aplikasi yang tidak memberikan solusi, mengurus administrasi dan aduan tetap perlu datang ke kantor apa gunanya aplikasi kalau begitu",aplikasi yang tidak memberikan solusi mengurus administrasi dan aduan tetap perlu datang ke kantor apa gunanya aplikasi kalau begitu,0,Netral,MATCH,
2723,Agus Hariyanto,3,2026-08-25,aplikasi dlogok. login lama bet. sering bug. mengapa produk pemerintah mesti busuk semua.,aplikasi dlogok login lama bet sering bug mengapa produk pemerintah mesti busuk semua,-4,Negatif,MATCH,
2724,anis prasetya,5,2026-08-25,"setelah update kenapa apk malah eror, gak bisa log in, akun belum terdaftar, nik tidak ditemukan",setelah update kenapa aplikasi malah error tidak bisa login in akun belum terdaftar nik tidak ditemukan,-2.5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
2725,es teh anget,1,2026-08-25,"aplikasi gajelas blokir aja udah, kode otp ga masuk padahal nomor bener, pulsa ada, kuota ada, tetep aja ga bisa aplikasi sampah",aplikasi gajelas blokir aja udah kode otp tidak masuk padahal nomor benar pulsa ada kuota ada tetep aja tidak bisa aplikasi sampah,-4,Negatif,MATCH,
2726,Amelia Sanjaya,1,2026-08-25,"TOLONG LAH YA KALAU MEMANG WAJIB HARUS PAKE MOBILE JKN, TOLONG DIPERMUDAH BUAT VERIFIKASI MUKA PLIS SUSAH BANGET UDAH GANTI TMPT CAHAYA BAGUS TETAP AJA GABISA",tolong lah ya kalau memang wajib harus pake mobile jkn tolong dipermudah buat verifikasi muka tolong sulit banget udah ganti tmpt cahaya bagus tetap aja tidak bisa,-0.5,Netral,MATCH,
