No,User Name,Rating / Bintang,Tanggal Review,Isi Ulasan,Jumlah Like,Tanggal Balasan,Balasan Developer,Versi Aplikasi
445,Peri Kecil,4,2026-09-08,"meski udah daftar antrian online.tetep aja dilokasi antri sesuai urutan yg dilokasi,meskipun antrian di JKN no. 2",0,,,
446,abdullah said,1,2026-09-08,Yang bisa akses hanya HP tipe tinggi Kurang tepat sasaran Kasihan yang dikampung HP jadul ga bisa akses Apakah harus beli HP dulu. Padahal lagi sakit parah. Uang jg pas pasan... Astaghfirullah 😥,0,,,
447,santi dwi,5,2026-09-08,oke,0,,,4.18.0
448,Imank Sudirman,5,2026-09-08,mantap,0,,,4.18.0
449,Satrio Sambodo,1,2026-09-08,"ferivikasi mental semua, lewat sms, WA bahkan wajah, bikin g nyaman... akses ksehatan malah terganggu... pengen cepet tmbah bkin ribet... perbaikin doooong...!!!",0,,,4.18.0
450,Kii Alvakista,1,2026-09-08,"apk buatann Indonesia emang bikin darah tinggi anj, suka sering error!",0,,,4.18.0
451,Rizky Permatasari,5,2026-09-08,mantaap udah lebih bagus aplikasi nya sangat mempermudah,0,,,
452,Fauzi Ilyas,1,2026-09-08,mau ambil antrean mala gak bisa disuruh hububgi call centre atau cs nya uda dihubungi mala gak ada solusi ribet banget jkn,0,,,4.18.0
453,Cullenk Fellaini,1,2026-09-07,aplikasi tolol ngeblank terus gak bisa di buka goblokk,0,,,4.18.0
454,Kardi Airin,5,2026-09-07,terima kasih,0,,,4.18.0
455,Ichika Nanakiy,2,2026-09-07,tolong kalau buat aplikasi yang mudah tagihan muncul tapi tidak ada cara membayar nya......,0,,,
456,Firman saragih,1,2026-09-07,"aplikasi apaan begini, daftar pun gk bisa, gk jelas banget",0,,,4.18.0
457,JEVERSTEINE,1,2026-09-07,menu yang penting malah tidak di tampilkan mau bayar iuran tidak tau dimana .....,0,,,4.18.0
458,Abe Ganteng,1,2026-09-07,apk lelet konfirmasi nomor TPI tidak kunjung dapat sms,0,,,
459,Rohim Oim,5,2026-09-07,terima kasih sudah terbantu,0,,,4.18.0
460,Asep Saepudin,1,2026-09-07,aplikasi eror mulu,0,,,
461,Nyoman Supatra,5,2026-09-07,aplikasi bagus,0,,,4.18.0
462,Suwari Aldi,1,2026-09-07,nges3lin....login masuk salah nik lah salah pasword lah aneh...bikin kesel...,0,,,4.18.0
463,indra mahendra,4,2026-09-07,"cukup bagus, hanya saja untuk verifikasi wajah agak lama. tolong diperbaiki. terimakasih.",0,,,4.18.0
464,Safira EgaSatryo,1,2026-09-07,mau download g bisa mulu kenapa woiii,0,,,
465,Pratama Hadi,1,2026-09-07,aplikasi merepotkan bagi yang ingin berobat. payah,0,,,4.18.0
466,Azrilrifqi Azrilrifqi,5,2026-09-07,keren sih aplikasi ini sangat membantu mudah masuk setiap 1x bulan,0,,,4.18.0
467,Dian Wahyuni,5,2026-09-07,muda bget,0,,,4.18.0
468,Aguk Supriyanto,1,2026-09-07,gak bisa di buka,0,,,4.15.0
469,Nadhira Valyn,1,2026-09-07,"aplikasi bujang , apa harus orang kaya baru di permudah , jangan download , rakyat kecil ini selalu di persulit verifikasi nomor lebih 1 jam ,dan hasilnya coba lagi",0,,,
470,Farid Fatahilah,1,2026-09-07,masak kode nya ga ter kirim ke sms,0,,,4.18.0
471,andi turnip,5,2026-09-07,ok,0,,,
472,Yahya Ardian Yuma Pracesa,1,2026-09-07,ngestuck di logo page,0,,,4.18.0
473,Evi tania,5,2026-09-07,ini gimana yaa saya mau download aplikasi ini ko ga da yaa di play store,0,,,
474,sindi aditiya,5,2026-09-07,terimakasih bnyak mobile jkn💑,0,,,4.18.0
475,Siti Marnah,4,2026-09-07,ribet mana aplikasinya mental terus,0,,,4.18.0
476,Eko Priyanto,5,2026-09-07,mudah,0,,,
477,Radit Aminoto,1,2026-09-07,mau daftar susah amat minn,0,,,4.18.0
478,Kemal Prayuga,5,2026-09-07,terimakasih banyak,0,,,4.18.0
479,Iwan Gunardi,1,2026-09-07,"masuk aja gak bisa, padahal pasword benar. lewat no hp email juga benar gak bisa masuk. uninstall aja",0,,,4.18.0
480,nur yanto,5,2026-09-07,tidak bisa dibuka,0,,,4.18.0
481,SURYADI,3,2026-09-07,menunggu verifikasi kode otpnya lama,0,,,4.18.0
482,Muhammad Syahid23,4,2026-09-07,mantaps luar biasa,0,,,4.18.0
483,Mohamad Fahri 25,1,2026-09-07,APLIKASI PENGUJI KESABARAN TOLONG INI APLIKASI KENTANG BGT GA LAYAK BGT DIBILANG APLIKASI,0,,,4.18.0
484,endang susilawati,3,2026-09-07,"Aplikasi nya kenapa sering logout sendiri si, udh gitu mau log in lg susah nik/password salah terus pdahal nik udh bener di KK dn password juga udh bener sewaktu daftar .",0,,,4.18.0
485,016_ Khayla Syifa M.,5,2026-09-07,makan ok,0,,,
486,Nora Selvia,4,2026-09-07,"kalo untuk aplikasi sdh bagus,tapi suka logout sendiri,,,meski jaringan bagus,mohon tingkatkan lagi untuk kelayakan dan kenyamanan saat d gunakan",0,,,4.14.0
487,Ahmad Youtube,5,2026-09-07,assoy,0,,,4.18.0
488,Sultan Nasik,1,2026-09-07,ribet mau daftar juga susah kameranya gajelas satu muka satu muka di kira muka ada banyak gajelas,0,,,
489,Lia Herawati,5,2026-09-07,Alhamdulillah mudah ubah klinik.. terima kasih jkn,0,,,4.18.0
490,Ariyanto Buddy,5,2026-09-07,best,0,,,
491,Odhay 79,1,2026-09-07,"1 perangkat masa saya tidak bisa login 3 NIK, 3 nik itu sy dan 2 anak sy, kata call center 165 harus masing² py akun sendiri karena peserta terdaftar di segmen berbeda, giliran sy daftar 1 hp 3 nik ga bs login, perintah nya suruh hubungin 165,gmana sih....",0,,,
492,Sardini Afajari,2,2026-09-07,"ni akun nyebelin, mbok ya diperbaiki, keluar sendiri, suruh login terus",0,,,4.18.0
493,YUDHA FRATAMA,5,2026-09-07,oke mantap..,0,,,4.18.0
494,Agsthns Paide (PvchePibo),1,2026-09-07,"tolol, mau daftar aja ribetnya minta ampun",0,,,4.18.0
495,Uden Rh,1,2026-09-07,selalu log out.. sekali nya mau login selalu nik salah.. padahal sudah betul,0,,,4.18.0
496,Alfi Firdaus,5,2026-09-07,membantu tolong klo bisa jangan gagal mulu masuk ny,0,,,4.17.0
497,Basuki Nur,5,2026-09-07,sangat membantu,0,,,4.18.0
498,STARFIT Indonesia,5,2026-09-07,good,0,,,
499,Ana Dwi rahayu,5,2026-09-07,mudah di.pahami,0,,,
500,Rudi Septianto,1,2026-09-07,versi android nya ketinggian jadi sulit diakses untuk versi android 10 kebawah,0,,,4.18.0
